name,track_number,album,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year
SKINNY,1,HIT ME HARD AND SOFT,2024-05-17,0.251,0.252,major,-14.478,1,0.0375,0.693,0.00706,0.0968,0.0395,69.988,2024
LUNCH,2,HIT ME HARD AND SOFT,2024-05-17,0.893,0.4,minor,-7.981,0,0.0643,0.0452,0.0823,0.0632,0.945,124.987,2024
CHIHIRO,3,HIT ME HARD AND SOFT,2024-05-17,0.7,0.425,major,-12.531,1,0.0529,0.144,0.879,0.083,0.521,110.015,2024
BIRDS OF A FEATHER,4,HIT ME HARD AND SOFT,2024-05-17,0.747,0.507,major,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,2024
WILDFLOWER,5,HIT ME HARD AND SOFT,2024-05-17,0.467,0.247,minor,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,2024
THE GREATEST,6,HIT ME HARD AND SOFT,2024-05-17,0.407,0.192,major,-10.99,1,0.0368,0.637,3.33e-06,0.21,0.159,128.173,2024
L’AMOUR DE MA VIE,7,HIT ME HARD AND SOFT,2024-05-17,0.467,0.392,major,-9.355,1,0.0908,0.2,0.0174,0.106,0.313,145.104,2024
THE DINER,8,HIT ME HARD AND SOFT,2024-05-17,0.857,0.386,major,-9.761,1,0.168,0.243,0.0931,0.111,0.661,125.017,2024
BITTERSUITE,9,HIT ME HARD AND SOFT,2024-05-17,0.521,0.254,minor,-14.409,0,0.0399,0.815,0.884,0.114,0.153,125.021,2024
BLUE,10,HIT ME HARD AND SOFT,2024-05-17,0.349,0.337,major,-10.671,1,0.0407,0.29,0.172,0.139,0.0365,142.01,2024
Getting Older,1,Happier Than Ever,2021-07-30,0.599,0.128,major,-17.261,1,0.109,0.974,0.121,0.115,0.367,159.679,2021
I Didn't Change My Number,2,Happier Than Ever,2021-07-30,0.849,0.48,major,-5.835,1,0.226,0.612,0.269,0.295,0.677,142.021,2021
Billie Bossa Nova,3,Happier Than Ever,2021-07-30,0.895,0.389,minor,-11.036,0,0.11,0.222,0.0346,0.105,0.549,110.023,2021
my future,4,Happier Than Ever,2021-07-30,0.456,0.285,major,-10.755,1,0.0979,0.814,0.143,0.307,0.0809,104.89,2021
Oxytocin,5,Happier Than Ever,2021-07-30,0.757,0.598,major,-7.777,1,0.058,0.0904,0.551,0.15,0.18,124.951,2021
GOLDWING,6,Happier Than Ever,2021-07-30,0.654,0.303,minor,-13.943,0,0.126,0.755,0.159,0.0957,0.168,160.095,2021
Lost Cause,7,Happier Than Ever,2021-07-30,0.526,0.334,minor,-8.491,0,0.251,0.702,0.00782,0.0586,0.522,74.966,2021
Halley's Comet,8,Happier Than Ever,2021-07-30,0.403,0.159,minor,-16.728,0,0.104,0.961,0.0121,0.34,0.0381,72.38,2021
Not My Responsibility,9,Happier Than Ever,2021-07-30,0.468,0.13,major,-18.031,1,0.0571,0.454,0.927,0.0819,0.0362,115.039,2021
OverHeated,10,Happier Than Ever,2021-07-30,0.777,0.522,minor,-12.496,0,0.0535,0.527,0.838,0.0968,0.182,115.008,2021
Everybody Dies,11,Happier Than Ever,2021-07-30,0.275,0.155,minor,-17.285,0,0.0674,0.928,0.176,0.0888,0.0588,65.136,2021
Your Power,12,Happier Than Ever,2021-07-30,0.632,0.284,minor,-14.025,0,0.0801,0.932,0.000476,0.233,0.208,129.642,2021
NDA,13,Happier Than Ever,2021-07-30,0.765,0.373,major,-9.921,1,0.0713,0.341,0.525,0.112,0.554,85.016,2021
Therefore I Am,14,Happier Than Ever,2021-07-30,0.879,0.365,major,-7.781,1,0.0924,0.227,0.135,0.0583,0.663,94.016,2021
Happier Than Ever,15,Happier Than Ever,2021-07-30,0.332,0.225,major,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,2021
Male Fantasy,16,Happier Than Ever,2021-07-30,0.687,0.288,major,-10.415,1,0.045,0.863,0.0,0.0986,0.308,110.927,2021
!!!!!!!,1,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,0.0,0.278,major,-21.63,1,0.0,0.768,0.0,0.669,0.0,0.0,2019
bad guy,2,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,0.701,0.425,major,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,2019
xanny,3,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,0.521,0.125,major,-17.832,1,0.239,0.751,0.00207,0.265,0.0528,111.554,2019
you should see me in a crown,4,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,0.678,0.533,major,-10.485,1,0.186,0.462,0.219,0.139,0.323,150.455,2019
all the good girls go to hell,5,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,0.726,0.444,minor,-8.922,0,0.372,0.283,0.143,0.177,0.569,185.044,2019
wish you were gay,6,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,0.853,0.351,major,-10.198,1,0.241,0.39,9.38e-06,0.752,0.282,118.028,2019
when the party's over,7,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,0.367,0.111,major,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,2019
8,8,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,0.735,0.235,major,-13.239,1,0.315,0.698,0.00604,0.107,0.462,62.446,2019
my strange addiction,9,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,0.939,0.305,minor,-10.952,0,0.354,0.35,0.000169,0.105,0.563,100.029,2019
bury a friend,10,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,0.905,0.389,major,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,2019
ilomilo,11,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,0.855,0.423,minor,-15.044,0,0.0585,0.724,0.469,0.0896,0.572,120.02,2019
listen before i go,12,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,0.319,0.0561,major,-23.023,1,0.045,0.935,0.00384,0.388,0.082,79.764,2019
i love you,13,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,0.421,0.131,major,-18.435,1,0.0382,0.952,0.00453,0.109,0.12,137.446,2019
